OBJEKTART,UUID,NAME,MIN_E,MIN_N,MIN_Z,MAX_E,MAX_N,MAX_Z,SKIGEBIET,2005 mid,2005 bottom,2005 top,2035 mid,2035 bottom,2035 top,2060 mid,2060 bottom,2060 top,2085 mid,2085 bottom,2085 top
Skilift,{B5C9B0EA-175A-4B47-A3BB-2BAE135CCC7E},Aebi,606341,148128,1546,606414,147856,1629,Adelboden-Lenk,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{E3F97945-EFD5-4EFB-B67A-A3BC159978CA},Aebi–Sillerenbühl,606211,148110,1543,606127,146772,1979,Adelboden-Lenk,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{5357C8FC-547E-44DB-B33E-A5C47C45686A},Balmen,599426,143586,1565,599314,142990,1667,Adelboden-Lenk,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{54C4E901-538B-4145-89CD-301F80E69D7B},Bergläger–Höchsthorn,607300,146331,1491,608317,146339,1888,Adelboden-Lenk,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{2B27D044-7540-467D-BF2D-72CCFD302BFB},Bergläger–Sillerenbühl,607229,146367,1496,606101,146721,1977,Adelboden-Lenk,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{F1B39763-9457-410D-95D3-1F07D200F7C1},Boden–Chuenisbärgli,609086,147850,1306,608296,146862,1742,Adelboden-Lenk,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{D4810377-D69B-4846-9E5B-93139C54F739},Brenggen,604058,144347,1870,604609,144404,1972,Adelboden-Lenk,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{42E08F29-701C-4D36-9CDE-CBAADB044770},Bühlberg–Hahnenmoos,602521,144449,1657,604090,144847,1983,Adelboden-Lenk,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{79F2E55C-DF92-4B45-98FB-CCD5D503822F},Geils-Hahnenmoos,605708,145062,1715,604363,144668,1957,Adelboden-Lenk,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Sesselbahn,{9C43748B-D5E6-44F0-B75F-96CC967BE63B},Geils-Lavey,605754,145137,1716,604310,145685,2200,Adelboden-Lenk,green,green,green,yellow,yellow,green,yellow,yellow,green,red,red,yellow
Sesselbahn,{CCB30EA8-76F3-42F8-AE44-85FD9F58948D},Geils-Luegli,605753,145003,1713,605304,143295,2143,Adelboden-Lenk,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{3428A5D6-DBB6-442A-B800-831AD5E00F38},Guetfläck,603676,142906,1814,604605,143369,2107,Adelboden-Lenk,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{8DE920A9-0BAD-433F-8874-8DA04CB416F8},Hasler,597702,143307,1761,597998,142571,1930,Adelboden-Lenk,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Skilift,{E7963CB9-797C-4B7D-8885-DFD537A4B53C},Leiterli,597833,142306,1909,597560,141639,2007,Adelboden-Lenk,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Sesselbahn,{446A044B-02E9-4606-8017-56CCA7DFD4AA},Metschstand,602826,144000,1665,604334,143680,2105,Adelboden-Lenk,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{AE45D4BF-D250-4429-93F0-EF92ED4B5A3F},Möser-Tschentenegg,608472,150634,1630,608319,149814,1936,Adelboden-Lenk,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{4FAD9852-619F-44EF-9892-79199CE0D7AC},Stand,605276,146605,1826,604944,146002,2094,Adelboden-Lenk,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Gondelbahn,{D8142D6A-4804-4CA4-81DC-D31365771EA1},Stoss-Leiterli,599253,143239,1642,597738,141962,1949,Adelboden-Lenk,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{245CA58E-2CB2-4085-87E0-48EDE8480D1B},Tanzboden,605843,146571,1934,606062,146698,1978,Adelboden-Lenk,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{9D05F754-B069-404B-B89F-B29B3C875774},TschentenAlp,608198,150578,1659,608138,149676,1964,Adelboden-Lenk,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Sesselbahn,{0AADBD78-CE53-4F3E-AA40-59D635A18BB7},Wallegg-Mülkerblatten,598117,143993,1591,598061,142566,1938,Adelboden-Lenk,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Luftseilbahn,{96B2AB08-8BB2-46E7-9354-FB1ADE2AC085},Dorf-Oey,609351,148531,1268,609060,148790,1352,Adelboden-Lenk,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Skilift,{6893C394-5A94-423D-9A2F-667499952CD2},Hampy,609747,147837,1292,609975,147795,1350,Adelboden-Lenk,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Luftseilbahn,{DA168364-4B7C-41DF-9BA3-E3A34991CD5B},Lenk-Metsch,601378,143329,1083,602260,143451,1483,Adelboden-Lenk,yellow,yellow,yellow,yellow,red,yellow,red,red,yellow,red,red,red
Gondelbahn,{DA0F783F-02AF-47FF-8807-90D0DB377027},Lenk-Stoss,599862,144602,1104,599253,143239,1642,Adelboden-Lenk,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Sesselbahn,{6EA19163-6675-4ABB-98BD-AFEBBA35DB42},Lenk-Wallegg,599389,145228,1150,598117,143993,1591,Adelboden-Lenk,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{4F538A30-57EB-4871-B819-23FFF9D52405},Mauren,599873,145159,1099,599400,144885,1213,Adelboden-Lenk,yellow,yellow,yellow,red,red,yellow,red,red,red,red,red,red
Gondelbahn,{74ABAAB7-BDDA-4362-B853-1419BFB1C842},Oey-Bergläger,609337,148511,1268,607242,146384,1496,Adelboden-Lenk,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Gondelbahn,{8573162F-AE8C-4AE9-8ED8-BD011B592974},Stand-Xpress,601451,143423,1079,604285,143641,2101,Adelboden-Lenk,yellow,yellow,green,yellow,red,green,yellow,red,yellow,red,red,yellow
Skilift,{35DA0FC3-37EA-4759-90B0-11606DCA2D04},Aeschiallmend,622418,166598,929,622649,165958,1153,Aeschi–Aeschiried,yellow,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{22D900D9-288D-4F3D-9561-3AF5F5939BAD},Spitz,622767,165934,1146,623371,165339,1390,Aeschi–Aeschiried,yellow,yellow,yellow,yellow,red,yellow,red,red,red,red,red,red
Luftseilbahn,{63B678AB-4EDF-4323-A6A8-42F0EC0530D4},Airolo–Pesciüm,689281,153191,1181,689737,152123,1747,Airolo,green,yellow,green,yellow,red,yellow,yellow,red,yellow,red,red,red
Skilift,{C97C6DED-7BFD-458A-9DE0-E1D63AF8B906},Pesciüm,689611,152096,1748,689379,151815,1805,Airolo,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{22AF014C-3839-4B29-AB01-9321582592CE},Pesciüm–Comascnè,689725,152029,1726,688530,151228,2094,Airolo,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Luftseilbahn,{286BB6A8-E6AB-4B61-8D48-708E9F06D1E8},Pesciüm–Sasso della Boggia,689738,152120,1747,690029,151454,2072,Airolo,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{9CD35F08-2786-4F1E-9D16-6078548596A6},Ravina–Cassinello,690978,151501,1761,690249,151606,1981,Airolo,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{A5602F52-D90A-4F03-A661-F50FE2542E2E},Ravina–Varozzei,690977,151473,1761,689916,150770,2257,Airolo,green,green,green,green,yellow,green,green,yellow,green,yellow,red,yellow
Skilift,{29F39D52-3BA0-4837-8341-C5B994F3F23D},Alpenrose I,645927,136721,1904,645770,136809,1935,Aletsch Arena,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{BEE602F9-71D1-4B80-9C37-465F7AC3335B},Alpenrose II,645929,136725,1903,645773,136813,1935,Aletsch Arena,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{F965F055-F333-495D-B710-D6809E1202ED},Alpmatten I,648146,137731,1868,648264,137994,1957,Aletsch Arena,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{57B68746-5CD3-4D03-AD77-8F0671BDC6C4},Alpmatten II,648152,137732,1868,648268,137992,1957,Aletsch Arena,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{4E153817-0E5E-4A5D-B80E-C233AA57AA3E},Bettmeralp–Bettmerhorn,648130,138069,1990,649096,140081,2651,Aletsch Arena,green,green,green,green,yellow,green,green,yellow,green,yellow,red,green
Sesselbahn,{9DA83D56-334A-40B3-9FBA-AD14487B10EA},Bettmeralp–Schönbiel,648349,137992,1958,649259,139345,2298,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{6EDCB322-9EC0-4E7C-A567-13C9E1A3F644},Blausee,647619,137510,1941,646674,137900,2214,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Luftseilbahn,{B22CDBD9-39F7-42A5-BA91-251561F9CE19},Fiesch–Fiescheralp,653670,139536,1068,651106,140395,2220,Aletsch Arena,green,yellow,green,yellow,red,green,yellow,red,green,red,red,yellow
Luftseilbahn,{8DEBE6F5-EE5D-4976-A6D5-1263084F6EB6},Fiesch–Fiescheralp,653679,139556,1072,651112,140417,2214,Aletsch Arena,green,yellow,green,yellow,red,green,yellow,red,green,red,red,yellow
Luftseilbahn,{2F53AD64-FC49-4773-8D2C-95CE3C746E70},Fiescheralp–Eggishorn,651093,140406,2223,650333,141959,2873,Aletsch Arena,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Sesselbahn,{8DB04E22-6E5F-414D-8AEC-83DFCDCFC0E9},Flesch,651077,140470,2209,650113,141310,2631,Aletsch Arena,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Skilift,{D2910FF0-1AA1-4AE9-A2D5-2657D16F254B},Golmenegg,646406,136919,1924,647030,137465,2071,Aletsch Arena,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{4F4BFCBB-7C7B-4D7F-8519-2ED8CE70F313},Heimatt,652329,140681,1848,651289,140830,2302,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{F6D6A5F5-F615-408A-B1C0-489E2E312843},Hohfluh,645262,136426,1929,645325,137367,2222,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{8657AE6B-7621-453A-A518-C74CDA14320C},Läger I,647645,137764,1980,647631,138000,2042,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Skilift,{1D20D9FE-4CF0-4049-839B-3804C068F9B4},Läger II,647645,137758,1980,647485,137887,2031,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Skilift,{D1835A78-BC87-428C-9665-1BBA594E69B9},Laxeralp I,650964,139667,2139,650524,139499,2182,Aletsch Arena,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
