id,description,amount,yes,no,outro,source,type,category,dependency,altYes,altNo,month,pauschal,FALSE,,Check Function,,,,,,,,,,,,,,
1,Start,986,,,,,start,start,,,,1,-31.13,TRUE,,FALSE,,,,,,Grundbedarf,986,,,,,,,
2,Handy-Abo,-19.00,,,,https://shop.m-budget.migros.ch/de/mobile-abonnement?gclid=Cj0KCQjw4-XlBRDuARIsAK96p3B1KrptcN7e-oTe1KfMi2moioOWfubyxkeYqSGPKmOj3Y2QViFNxCgaAuFyEALw_wcB,event,media,,,,1,-31.13,TRUE,,FALSE,,,,,,Pauschal,583,,,,,,,
3,Cappuccino mit Tante,-5,,,,,event,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
4,"Internet, Telefon und TV",-49.8,,,,https://shop.m-budget.migros.ch/de/kombiangebote,event,media,,,,1,-31.13,TRUE,,FALSE,,x,,,,,,,,,,,,
5,Ihr Hund Fidi hat Hunger. Er braucht neues Hundefutter. Können Sie sich das leisten? ,-50,"Ja, klar. ",Nein. Fidi muss ins Tierheim.,Sie haben Ihren Hund abgegeben. ,http://m.tierwelt.ch/?rub=4486&id=43310,chance,life,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
6,Pneu und Schlauch fürs Velo,-21.8,,,,https://www.sportxx.ch/de/c/1886741505/ausruestung/bike-zubehoer/bereifung,event,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
7,Radio- und Fernsehgebühr für drei Monate,-93.25,,,,https://www.serafe.ch/de/abgabebefreiung/personen-mit-sozialhilfe/,event,media,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
8,Kinobesuch,-15,,,,https://www.rexbern.ch/tickets-abos/,event,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
9,Sie singen im Männerchor. Das Highlight der Woche. Jetzt steht der neue Mitgliederbeitrag an. ,-150,Sicher. Das bezahle ich!,Geht nicht mehr. Ich muss austreten. ,Sie sind aus dem Männerchor ausgetreten.,,chance,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
10,Ausflug nach Biel ,-18.4,,,,SBB,event,mobility,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
11,Glace bei der Gelateria di Berna ,-3.5,,,,https://www.tripadvisor.ch/LocationPhotoDirectLink-g188052-d5123185-i181257713-Gelateria_di_Berna-Bern_Bern_Mittelland_District_Canton_of_Bern.html,event,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
12,Mahngebühr Rechnungsverzug,-20,,,,,event,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
13,Erste Sommertage: Sie möchten einen Holzkohlegrill für Ihren Balkon kaufen.,-70,Was für ein Schnäppchen!,Ufff ... zu teuer. ,Sie haben auf den Balkongrill verzichtet. ,https://www.obi.ch/holzkohlegrills/obi-premium-kugelgrill-cleveland-43-cm/p/4952388,chance,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
