id,description,amount,yes,no,outro,type,source,category,dependency,altYes,altNo,month,pauschal,FALSE,,Funktionalität,,,,,,,,
1,Start,986,,,,start,,start,,,,1,-31.13,TRUE,,FALSE,,,,,,,Grundbedarf,986
2,Handy-Abo,-19.00,,,,event,,media,,,,1,-31.13,TRUE,,FALSE,,,,,,,Pauschal,583
3,Lutschbonbons ,-3.8,,,,event,https://produkte.migros.ch/m-budget-hartbonbons-pfefferminze,life,,,,1,-31.13,TRUE,65.25,FALSE,,,,,,,,
4,Porto Bewerbungen,-5,,,,event,,media,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
5,Sie rauchen seit 30 Jahren und drehen 20 Zigaretten pro Tag. Eine neue Tabakration steht an. ,-90,Tabak kaufen.,Nein. Abgewöhnen und Nikotinpflaster.,Sie haben aufs Rauchen verzichtet.,chance,,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
6,Termin in Thun (ohne Halbtax),-32.8,,,,event,SBB,mobility,13,105,104,1,-31.13,TRUE,,FALSE,,,,,,,,
7,Erde und neue Töpfe für Balkonpflanzen ,-15,,,,event,,life,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
8,Neue Socken,-30,,,,event,,clothing,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
9,"Ihr bester Freund Hugo fragt Sie, ob Sie ihn zum Feierabendbier begleiten. ",-10,"Ja, klar. ",Nein. Heute ist leider ganz schlecht. ,Sie haben das Treffen mit Ihrem besten Freund abgesagt.,chance,,leisure,,,,1,-31.13,FALSE,,FALSE,,,,,,,,
10,Radio- und Fernsehgebühr für drei Monate,-93.25,,,,event,,media,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
11,Schulden bei Freund Hugo,-50,,,,event,,life,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
12,Bratwurst auf dem Markt,-6,,,,event,,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
13,Wollen Sie Ihr Halbtax-Abo verlängern?,-165,"Ja, das lohnt sich.",Nein.,Sie haben Ihr Halbtaxabo nicht mehr bezahlt.,chance,SBB,mobility,,,,1,-31.13,FALSE,,TRUE,,,,,,,,
14,Schnupper-Abo SonntagsBlick,-17.9,,,,event,,media,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
15,Hundefutter,-60,,,,event,,life,,,,1,-31.13,TRUE,,FALSE,,,,,,,,
16,"Internet, Telefon und TV",-49.8,,,,event,,media,,,,1,-31.13,,,,,,,,,,,
17,Start,986,,,,start,,start,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
18,Handy-Abo,-19.00,,,,event,,media,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
19,Tabakration ,-90,,,,event,,leisure,5,101,102,2,-31.13,TRUE,,TRUE,,,,,,,,
20,"Internet, Telefon und TV",-50,,,,event,,media,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
