id,description,amount,yes,no,type,source,category,outro,dependency,altYes,altNo,month,pauschal,FALSE,,Funktionalität,,,,,,,,
1,Start,1834,,,start,,start,,,,,1,-57.88,TRUE,,FALSE,,,,,,,Grundbedarf,986
2,Drei Handy-Abos,-57,,,event,,media,,,,,1,-57.88,TRUE,,FALSE,,,,,,,Pauschal,583
3,Fitnessabo ,-40,,,event,,leisure,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
4,Radio- und Fernsehgebühr für drei Monate,-93.25,,,event,,media,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
5,Wollen Sie Ihr Halbtax-Abo verlängern?,-165,"Ja, das lohnt sich.",Nein.,chance,,mobility,Sie haben Ihr Halbtax nicht verlängert.,,,,1,-57.875,TRUE,,FALSE,,,,,,,,
6,Apéro mit Freunden,-20,,,event,,leisure,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
7,Mehrausgaben Essen,-60,,,event,,life,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
8,"Internet, Telefon und TV",-49.8,,,event,,media,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
9,Samstag: Eine Freundin will mit Ihnen tanzen gehen. Gehen Sie mit? ,-40,"Ja, das lässt sich machen.",Uff ... Ist heute gerade ganz schlecht.,chance,,leisure,Sie haben aufs Tanzen mit der Freundin verzichtet.,,,,1,-57.875,TRUE,,FALSE,,,,,,,,
10,Neue Duschbrause,-24.9,,,event,,life,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
11,Sozialer Druck: Markenkleider für die Kinder,-220,,,event,,clothing,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
12,Sackgeld für die Kinder,-46,,,event,,life,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
13,Sonntag ist Kinotag. Können Sie sich das leisten? ,-34.5,Ja.,Nein.,chance,SBB,leisure,Sie sind nicht mit den Kindern ins Kino gegangen.,,,,1,-57.875,FALSE,,FALSE,,,,,,,,
14,Hallenbad mit den Kindern,-16,,,event,,leisure,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
15,Zwei SBB-Junior-Karten,-60,,,event,SBB,mobility,,,,,1,-57.88,TRUE,,FALSE,,,,,,,,
16,Süssigkeiten für die Kinder,-15,,,event,,leisure,,,,,2,-57.88,TRUE,1.05,FALSE,,,,,,,,
17,Juni,1834,,,start,,start,,,,,2,-57.875,TRUE,,FALSE,,,,,,,,
18,Drei Handy-Abos,-57,,,event,,media,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
19,Sackgeld für die Kinder,-40,,,event,,life,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
20,"Internet, Telefon und TV",-49.8,,,event,https://www.z-pass.ch/zpass/de/abos-und-billette/abos/z-pass-abo/a-welle-zvv.tab-tab_0.html,media,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
21,Ihre Tochter hat bald Geburtstag. Sie will eine Party veranstalten. Können Sie den Wunsch ermöglichen?,-80,Klar!,Nein. Vielleicht nächstes Jahr?,chance,,leisure,Ihre Tochter konnte kein Geburtstagsfest organisieren.,,,,2,-57.875,TRUE,,FALSE,,,,,,,,
22,Kuchen für die Schule backen,-20,,,event,,life,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
23,Geschenk für Silvana,-80,,,event,,leisure,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
24,Mehrausgaben Essen,-120,,,event,,life,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
25,KulturLegi verlängern?,-20,Ja.,Nein.,chance,,leisure,,,,,2,-57.875,TRUE,,FALSE,,,,,,,,
26,Velo von der Velobörse,-60,,,event,,life,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
27,"Grossvater in Bern besuchen (mit Halbtax, mit Junior-Karte)",-53,,,event,,mobility,,5,101,102,2,-57.88,TRUE,,FALSE,,,,,,,,
28,Zoo mit den Kindern (mit KulturLegi),-26,,,event,,leisure,,25,104,105,2,-57.88,TRUE,,TRUE,,,,,,,,
29,Die Sonne scheint wieder. Sie brauchen eine korrigierte Sonnenbrille. ,-150,Ja. ,Nein.,chance,,life,Sie haben keine korrigierte Sonnenbrille gekauft.,,,,2,-57.875,TRUE,,FALSE,,,,,,,,
30,Fitnessabo ,-40,,,event,,leisure,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
31,Küchengeräte,-120,,,event,,life,,,,,2,-57.88,TRUE,,FALSE,,,,,,,,
32,Transportkosten,-30,,,event,,mobility,,,,,2,-57.88,TRUE,-36.75,FALSE,,,,,,,,
33,Juli,1834,,,start,,start,,,,,3,-57.875,TRUE,,FALSE,,,,,,,,
34,Drei Handy-Abos,-57,,,event,,media,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
35,Sackgeld für die Kinder,-46,,,event,,life,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
36,"Internet, Telefon und TV",-50,,,event,,media,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
37,"Sommerferien: Fünf Tage im Reka-Feriendorf in Hasliberg?
",-800,Ich muss raus hier. Unbedingt!,Nope.,chance,https://reka.ch/de/rekaferien/ferienwelten/ferien-mit-kleinkind/seiten/ferien-mit-kleinkind.aspx,leisure,Sie sind nicht in die Ferien gereist.,,,,3,-57.88,FALSE,,FALSE,,,,,,,,
38,Neue Schuhe,-120,,,event,,clothing,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
39,Auslagen Garten,-50,,,event,,life,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
40,Spielsachen für die Kinder,-50,,,event,,leisure,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
41,Befreundete Familie zum Grillieren einladen?,-80,"Ja, das ist eine gute Idee.",Nein.,chance,,life,Sie laden die befreundete Familie nicht zum Essen ein.,,,,3,-57.88,FALSE,,FALSE,,,,,,,,
42,Knöchel gebrochen. Zugabo für zwei Monate.,-192,,,event,,mobility,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
43,Grill für den Balkon,-79.95,,,event,SBB,leisure,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
44,ZVV-Ferienpässe für die Kinder,-50,,,event,https://www.projuventute.ch/Gratis-ZVV-FerienPass-ZH.2342.0.html,mobility,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
45,Silvana darf mit der Familie der Schulfreundin eine Woche in die Türkei. Den Flug muss sie selber bezahlen. ,-250,"Ja, das ist sicher ein gutes Erlebnis. ","Uff, sicher nicht.",chance,,life,Silvana konnte nicht mit ihrer Freundin in die Türkei.,,,,3,-57.88,FALSE,,FALSE,,,,,,,,
46,Neue Fussballausrüstung für Silvana,-65,,,event,https://www.sportxx.ch/de/p/460681738530/nike-phantom-venom-academy-fg?selectVariant,clothing,,45,117,118,3,-57.88,TRUE,,TRUE,,,,,,,,
47,Badikosten,-40,,,event,,leisure,,,,,3,-57.88,TRUE,,FALSE,,,,,,,,
48,Kleider,-70,,,event,,clothing,,,,,3,-57.88,TRUE,1.30,FALSE,,,,,,,,
49,August,1834,,,start,,start,,,,,4,-57.875,TRUE,,FALSE,,,,,,,,
50,Drei Handy-Abos,-50,,,event,,media,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
51,Schulanfang: Neues Material,-40,,,event,,leisure,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
52,"Internet, Telefon und TV",-93.25,,,event,,media,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
