GDENR;GEMNUTZ;TOTAL_WHG;ANTEIL_GEMNUTZ
1;0;944;0.0000
2;299;6104;0.0490
3;69;2551;0.0270
4;10;1745;0.0057
5;51;1733;0.0294
6;0;530;0.0000
7;0;1049;0.0000
8;0;314;0.0000
9;44;2237;0.0197
10;0;2582;0.0000
11;0;1264;0.0000
12;0;506;0.0000
13;0;1733;0.0000
14;139;2329;0.0597
21;0;297;0.0000
22;0;405;0.0000
23;0;297;0.0000
24;0;423;0.0000
25;0;856;0.0000
26;0;294;0.0000
27;7;1890;0.0037
28;1;671;0.0015
29;42;681;0.0617
30;0;1022;0.0000
31;40;1012;0.0395
32;0;196;0.0000
33;0;1017;0.0000
34;0;880;0.0000
35;0;927;0.0000
36;0;575;0.0000
37;18;782;0.0230
38;19;687;0.0277
39;0;411;0.0000
40;0;519;0.0000
41;0;203;0.0000
42;0;392;0.0000
43;0;155;0.0000
44;0;302;0.0000
51;257;1889;0.1361
52;347;5579;0.0622
53;117;10753;0.0109
54;248;3724;0.0666
55;6;2460;0.0024
56;252;4425;0.0569
57;0;1079;0.0000
58;47;2470;0.0190
59;0;892;0.0000
60;0;1190;0.0000
61;0;463;0.0000
62;745;10742;0.0694
63;0;1005;0.0000
64;68;2677;0.0254
65;0;523;0.0000
66;400;10569;0.0378
67;65;2169;0.0300
68;0;1303;0.0000
69;288;8431;0.0342
70;11;274;0.0401
71;0;703;0.0000
72;0;2237;0.0000
81;0;293;0.0000
82;0;620;0.0000
83;140;3091;0.0453
84;21;1876;0.0112
85;106;826;0.1283
86;23;2970;0.0077
87;0;380;0.0000
88;0;1641;0.0000
89;0;2225;0.0000
90;414;4165;0.0994
91;0;1373;0.0000
92;205;3432;0.0597
93;0;837;0.0000
94;0;1320;0.0000
95;0;264;0.0000
96;571;8816;0.0648
97;462;3843;0.1202
98;0;406;0.0000
99;0;664;0.0000
100;57;1111;0.0513
101;0;1644;0.0000
102;0;852;0.0000
111;0;2428;0.0000
112;15;3300;0.0045
113;72;3593;0.0200
114;0;1229;0.0000
115;80;4733;0.0169
116;70;1759;0.0398
117;3;5534;0.0005
118;529;6164;0.0858
119;10;685;0.0146
120;181;5137;0.0352
121;492;12575;0.0391
131;514;9411;0.0546
132;22;983;0.0224
133;1067;10311;0.1035
134;22;385;0.0571
135;50;4953;0.0101
136;315;3505;0.0899
137;69;2561;0.0269
138;136;6724;0.0202
139;37;3181;0.0116
140;0;895;0.0000
141;664;10006;0.0664
142;401;11173;0.0359
151;105;2910;0.0361
152;22;3372;0.0065
153;114;4176;0.0273
154;421;8310;0.0507
155;196;5726;0.0342
156;199;7400;0.0269
157;0;2311;0.0000
158;104;7428;0.0140
159;132;2962;0.0446
160;165;2820;0.0585
161;106;7219;0.0147
172;43;2931;0.0147
173;0;1698;0.0000
176;108;2501;0.0432
177;106;6117;0.0173
178;100;2044;0.0489
180;37;1517;0.0244
181;0;989;0.0000
182;0;473;0.0000
191;776;15370;0.0505
192;203;4211;0.0482
193;45;4341;0.0104
194;55;2395;0.0230
195;88;4904;0.0179
196;28;1878;0.0149
197;185;2442;0.0758
198;737;17754;0.0415
199;334;8446;0.0395
200;180;3638;0.0495
211;0;331;0.0000
213;0;960;0.0000
214;0;435;0.0000
215;0;346;0.0000
216;0;767;0.0000
217;40;2188;0.0183
218;0;389;0.0000
219;119;1621;0.0734
220;0;503;0.0000
221;12;1330;0.0090
222;0;206;0.0000
223;72;2616;0.0275
224;0;1876;0.0000
225;77;1169;0.0659
226;5;304;0.0164
227;111;3731;0.0298
228;46;2306;0.0199
230;5897;56992;0.1035
231;95;3021;0.0314
241;0;805;0.0000
242;325;3422;0.0950
243;746;13077;0.0570
244;212;2311;0.0917
245;210;3497;0.0601
246;0;1265;0.0000
247;786;9824;0.0800
248;17;2396;0.0071
249;0;1968;0.0000
250;697;4882;0.1428
251;125;2240;0.0558
261;43765;238520;0.1835
296;738;8784;0.0840
297;15;2337;0.0064
298;40;2913;0.0137
301;2;2368;0.0008
302;0;472;0.0000
303;0;1473;0.0000
304;18;954;0.0189
305;0;701;0.0000
306;140;7861;0.0178
307;0;1205;0.0000
309;0;656;0.0000
310;0;1287;0.0000
311;0;1882;0.0000
312;0;1589;0.0000
321;0;2297;0.0000
322;0;239;0.0000
323;0;336;0.0000
324;0;370;0.0000
325;0;104;0.0000
326;0;387;0.0000
329;370;8291;0.0446
331;50;1252;0.0399
332;0;1675;0.0000
333;0;814;0.0000
334;0;222;0.0000
335;0;126;0.0000
336;0;98;0.0000
337;0;2178;0.0000
338;9;799;0.0113
339;0;169;0.0000
340;0;265;0.0000
341;0;243;0.0000
342;49;1697;0.0289
344;0;460;0.0000
345;0;873;0.0000
