SN,BT,WH,RV,LA,LO,AD
,Baugenossenschaft Alpenblick,,Bern-Solothurn,46.7429372,7.6230454,Freiestrasse 38 <br>3600 Thun
Hegenheimerstrasse,Wohngenossenschaft Hegenheimerstrasse,,Nordwestschweiz,47.5621923,7.5652635,Grienstrasse 49 <br>4055 Basel
Moosburg,Baugenossenschaft ILLEFFI,,Winterthur,47.4205885,8.6936031,Oberholzstrasse 49 <br>8307 Effretikon
Moosburg,Baugenossenschaft ILLEFFI,,Winterthur,47.4205885,8.6936031,Oberholzstrasse 51 <br>8307 Effretikon
Linsentalstrasse,HGW Heimstätten-Genossenschaft Winterthur,,Winterthur,47.4692972,8.7550174,Linsentalstrasse 27 <br>8482 Sennhof (Winterthur)
Linsentalstrasse,HGW Heimstätten-Genossenschaft Winterthur,,Winterthur,47.4688577,8.7528819,Linsentalstrasse 29 <br>8482 Sennhof (Winterthur)
Linsentalstrasse,HGW Heimstätten-Genossenschaft Winterthur,,Winterthur,47.4678979,8.7580837,Linsentalstrasse 31 <br>8482 Sennhof (Winterthur)
,"Baugenossenschaft Iltisrain, Weisslingen",,Winterthur,47.4265473,8.7717604,Grabenwiese  <br>8484 Weisslingen
,"Baugenossenschaft Iltisrain, Weisslingen",,Winterthur,47.4265473,8.7717604,Grabenwiese  <br>8484 Weisslingen
,"Baugenossenschaft Iltisrain, Weisslingen",,Winterthur,47.4265473,8.7717604,Grabenwiese  <br>8484 Weisslingen
,Aktiengesellschaft für Erstellung billiger Wohnhäuser in Winterthur,,Winterthur,47.4933203,8.7129548,Obere Schöntalstrasse 16 <br>8406 Winterthur
,Aktiengesellschaft für Erstellung billiger Wohnhäuser in Winterthur,,Winterthur,47.4935497,8.7126247,Obere Schöntalstrasse 18 <br>8406 Winterthur
,Aktiengesellschaft für Erstellung billiger Wohnhäuser in Winterthur,,Winterthur,47.4943363,8.7114926,Obere Schöntalstrasse 26 <br>8406 Winterthur
,Baugenossenschaft Allmend Winterthur,,Winterthur,47.5143659,8.6861101,Rebenweg 2 <br>8400 Winterthur
,Baugenossenschaft Allmend Winterthur,,Winterthur,47.5143659,8.6861101,Rebenweg 4 <br>8400 Winterthur
,Baugenossenschaft Allmend Winterthur,,Winterthur,47.5143659,8.6861101,Rebenweg 6 <br>8400 Winterthur
,gaiwo Genosssenschaft für Alters- und Invalidenwohnungen in Winterthur,,Winterthur,47.4877161,8.7485905,Am Bach 26 <br>8400 Winterthur
,gaiwo Genosssenschaft für Alters- und Invalidenwohnungen in Winterthur,,Winterthur,47.513612,8.7220617,Schaffhauserstrasse 66 <br>8400 Winterthur
,"GESEWO, Genossenschaft für selbstverwaltetes Wohnen",,Winterthur,47.4863344,8.7655558,Kanzleistrasse 48 <br>8405 Winterthur
